"Facility Name" "District Name"
"KATSEKERA HEALTH CENTRE" NTCHEU
"MANJAWIRA HEALTH CENTRE" NTCHEU
"DZUNJE HEALTH CENTRE" NTCHEU
"KAPENI HEALTH CENTRE" NTCHEU
"CHAMPITI HEALTH CENTRE" NTCHEU
"BILIWIRI HEALTH CENTRE" NTCHEU
"NSIYALUDZU HEALTH CENTRE" NTCHEU
"BWANJE HEALTH CENTRE" NTCHEU
"MPHEPOZINAYI HEALTH CENTRE" NTCHEU
"KANDEU HEALTH CENTRE" NTCHEU
"BILILA HEALTH CENTRE" NTCHEU
"LIZULU HEALTH CENTRE" NTCHEU
"KASINJE HEALTH CENTRE" NTCHEU
"NTCHEU DHO PHARMACY" NTCHEU
"CHINTHEMBWE HEALTH CENTRE" NTCHISI
"MALAMBO HEALTH CENTRE" NTCHISI
"MNDINDA HEALTH CENTRE" NTCHISI
"MZANDU HEALTH CENTRE" NTCHISI
"KHUWI HEALTH CENTRE" NTCHISI
"KANGOLWA HEALTH CENTRE" NTCHISI
"MKHUZI HEALTH CENTRE" NTCHISI
"KAMSONGA HEALTH CENTRE" NTCHISI
"CHINGULUWE HEALTH CENTRE" NTCHISI
"MALOMO HEALTH CENTRE" NTCHISI
"NTHONDO HEALTH CENTRE" NTCHISI
"NTCHISI DHO PHARMACY" NTCHISI
SAMBAKUNSI NTCHISI
"NAZOMBE (GOGO) HEALTH CENTRE" PHALOMBE
"PHALOMBE DHO PHARMACY" PHALOMBE
"MULUNGU ALINAFE CLINIC" PHALOMBE
"CHIRINGA CHAM" PHALOMBE
"MWANGA HEALTH CENTRE" PHALOMBE
"CHIRINGA MATERNITY HEALTH CENTRE" PHALOMBE
"KALINDE HEALTH CENTRE" PHALOMBE
"CHITEKESA HEALTH CENTRE" PHALOMBE
"SUKASANJE HEALTH CENTRE" PHALOMBE
"NKHWAYI HEALTH CENTRE" PHALOMBE
"MPASA HEALTH CENTRE" PHALOMBE
"MIGOWI HEALTH CENTRE" PHALOMBE
"NKHULAMBE HEALTH CENTRE" PHALOMBE
"NAMBAZO HEALTH CENTRE" PHALOMBE
"PHALOMBE MISSION HOLY FAMILY HOSPITAL" PHALOMBE
"TCHARO HEALTH CENTER" RUMPHI
"NTHENJE HEALTH CENTRE" RUMPHI
"MLOWE HEALTH CENTRE" RUMPHI
"DAVID GORDON MEMORIAL HOSPITAL" RUMPHI
"CHISIMUKA HEALTH CENTRE" RUMPHI
"LUWUCHI HEALTH CENTRE" RUMPHI
"JALAWE HEALTH CENTRE" RUMPHI
"NG'ONGA HEALTH CENTRE" RUMPHI
"CHITIMBA HEALTH CENTRE" RUMPHI
"LURA HEALTH CENTRE" RUMPHI
"MPHOMPHA HEALTH CENTRE" RUMPHI
"MZOKOTO HEALTH CENTRE" RUMPHI
"MWAZISI HEALTH CENTRE" RUMPHI
"KATOWO RURAL/ COMMUNITY HOSPITAL" RUMPHI
"MHUJU RURAL/ COMMUNITY HOSPITAL" RUMPHI
"BOLERO RURAL/ COMMUNITY HOSPITAL" RUMPHI
"RUMPHI DHO PHARMACY" RUMPHI
"PARACHUTE BATTALION CLINIC" SALIMA
"CHITALA HEALTH CENTRE" SALIMA
"KATAWA CLINIC" SALIMA
"KAPHATENGA HEALTH CENTRE" SALIMA
"NGODZI HEALTH CENTRE" SALIMA
"THAVITE HEALTH CENTRE" SALIMA
"SENGA BAY BAPTIST MEDICAL CLINIC" SALIMA
"MAFCO HEALTH CENTRE" SALIMA
"CHAGUNDA HEALTH CENTRE" SALIMA
"MAKIONI HEALTH CENTRE" SALIMA
"MCHOKA HEALTH CENTRE" SALIMA
"LIFUWU HEALTH CENTRE" SALIMA
"LIFE LINE SALIMA HEALTH CENTRE" SALIMA
"MAGANGA HEALTH CENTRE" SALIMA
"CHIPOKA HEALTH CENTRE" SALIMA
"CHINGULUWE HEALTH CENTRE" SALIMA
"KHOMBEDZA HEALTH CENTRE" SALIMA
"MARY LOU HEALTH CENTRE" SALIMA
"ST. HELLENA OAKLEY (NTAMBANYAMA) HEALTH CENTRE" THYOLO
"CHINGAZI HOSPITAL" THYOLO
"MAKAPWA HEALTH CENTRE" THYOLO
"CHIPHO HEALTH CENTRE" THYOLO
"ST JOSEPH MITENGO HEALTH CENTRE" THYOLO
"THOMASI HEALTH CENTRE" THYOLO
"ST. MARTIN'S MOLERE HEALTH CENTRE CHAM" THYOLO
"MAKUNGWA HEALTH CENTRE" THYOLO
"DIDI HEALTH CENTRE" THYOLO
"MAPANGA CLINIC" THYOLO
"GOMBE HEALTH CENTRE" THYOLO
"CHISOKA HEALTH CENTRE" THYOLO
"CHANGATA HEALTH CENTRE" THYOLO
"ZOA HEALTH CENTRE" THYOLO
"CHIMVU HEALTH CENTRE" THYOLO
"MANGUNDA HEALTH CENTRE" THYOLO
"MALAMULO HOSPITAL" THYOLO
"CHIMALIRO HEALTH CENTRE" THYOLO
"THEKERANI RURAL/ COMMUNITY HOSPITAL" THYOLO
"KHONJENI HEALTH CENTRE" THYOLO
"MIKOLONGWE HEALTH CENTRE" THYOLO
"BVUMBWE RESEARCH HEALTH CENTRE" THYOLO
"THYOLO DHO PHARMACY" THYOLO
"AMALIKA HEALTH CENTRE" THYOLO
"CHANCELLOR COLLEGE CLINIC HEALTH CENTRE" ZOMBA
"MIKUYU YOUNG CLINIC" ZOMBA
"H PARKER SHARP HEALTH CENTRE" ZOMBA
"MIKUYU ADULT CLINIC" ZOMBA
"AIRWING CLINIC HEALTH CENTRE" ZOMBA
"ZOMBA CENTRAL PRISON CLINIC HEALTH CENTRE" ZOMBA
"NAMIKANGO MATERNITY HEALTH CENTRE" ZOMBA
"CHIPINI HEALTH CENTRE" ZOMBA
"ZILINDO HEALTH CENTRE" ZOMBA
"MAERA HEALTH CENTRE" ZOMBA
"NAMADIDI CLINIC HEALTH CENTRE" ZOMBA
"ZOMBA MENTAL HOSPITAL" ZOMBA
"CHANGALUME BARRACKS HEALTH CENTRE" ZOMBA
"MWANDAMA HEALTH CENTRE" ZOMBA
"MACHINJIRI HEALTH CENTRE" ZOMBA
"MAGOMERO HEALTH CENTRE" ZOMBA
"CHAMBA HEALTH CENTRE" ZOMBA
"MAYAKA HEALTH CENTRE" ZOMBA
"ZOMBA DHO PHARMACY" ZOMBA
"NAISI HEALTH CENTRE" ZOMBA
"ST. LUKES HOSPITAL" ZOMBA
"MATIYA HEALTH CENTRE" ZOMBA
"NASAWA HEALTH CENTRE" ZOMBA
"NGWELELO HEALTH CENTRE" ZOMBA
"CITY CLINIC ZOMBA" ZOMBA
"CHINGALE HEALTH CENTRE" ZOMBA
"SADZI HEALTH CENTRE" ZOMBA
"M'MAMBO HEALTH CENTRE" ZOMBA
"POLICE COLLEGE HOSPITAL" ZOMBA
"LAMBULIRA HEALTH CENTRE" ZOMBA
"COBBE BARRACKS HEALTH CENTRE" ZOMBA
"BIMBI HEALTH CENTRE" ZOMBA
"THONDWE HEALTH CENTRE" ZOMBA
"DOMASI RURAL/ COMMUNITY HOSPITAL" ZOMBA
"LIKANGALA HEALTH CENTRE" ZOMBA
"MATAWALE HEALTH CENTRE" ZOMBA
"NAMASALIMA HEALTH CENTRE" ZOMBA
"ZOMBA CENTRAL HOSPITAL" ZOMBA
"KANKAO HEALTH CENTRE" BALAKA
"BANGWE DAIHALIMA-MADINA CLINIC" BLANTYRE
"MALAMULO DAY CLINIC" BLANTYRE
"CHITHUMBA HEALTH CENTRE" CHIKWAWA
"CHANG'AMBIKA HEALTH CENTRE" CHIKWAWA
"THERERE HEALTH CENTRE" CHIKWAWA
"BEMBEKE HEALTH CENTRE" DEDZA
"KACHINDAMOTO HEALTH CENTRE" DEDZA
"KARONGA DHO PHARMACY" KARONGA
"CHIWE HEALTH CENTRE" LILONGWE
"NKHALANGO CLINIC" LILONGWE
"NRC CLINIC" LILONGWE
"FIDELITY PRIVATE CLINIC" LILONGWE
"BUNDA COLLEGE HEALTH CENTRE" LILONGWE
"FPAM NGO HEALTH CENTRE" LILONGWE
"CHILD LEGACY HEALTH CENTRE" LILONGWE
"MAULA PRISON STATIC ART HEALTH CENTRE" LILONGWE
"MBWATALIKA HEALTH CENTRE" LILONGWE
"MLALE HOSPITAL" LILONGWE
"LUMBADZI HEALTH CENTRE" LILONGWE
"CHILINDE HEALTH CENTRE" LILONGWE
"ST CHAVARA" LILONGWE
"MACHINGA HEALTH CENTRE" MACHINGA
"MAMA KHADIJA PRIVATE CLINIC NAMWERA" MANGOCHI
"NANKHWALI HEALTH CENTRE" MANGOCHI
"NANCHOLI DISPENSARY" MANGOCHI
"CHIUMBANGAME DISPENSARY" MANGOCHI
"MPONDASI HEALTH CENTRE" MANGOCHI
"CHIKOLE HEALTH CENTRE" MANGOCHI
"CHIUNDA DISPENSARY" MANGOCHI
"NANGALAMU HEALTH CENTRE" MANGOCHI
"NKULA CLINIC" NENO
"CHILAMBWE HEALTH CENTRE" "NKHATA BAY"
"TUKOMBO HEALTH CENTRE" "NKHATA BAY"
"NTHUNGWA HEALTH CENTRE" "NKHATA BAY"
"CHITHEKA HEALTH CENTRE" "NKHATA BAY"
"TSANGANO HEALTH CENTRE" NTCHEU
"SISTER THERESA MIKOKE HOSPITAL" NTCHEU
"PHALOMBE HEALTH CENTRE" PHALOMBE
"STATE HOUSE CLINIC HEALTH CENTRE" ZOMBA
"MAKWAPALA HEALTH CENTRE" ZOMBA
"MIKONDO HEALTH CENTRE" DEDZA
"TACHIRA CLINIC" LILONGWE
"LIKUNI HOSPITAL" LILONGWE
"KABUDULA RURAL/ COMMUNITY HOSPITAL" LILONGWE
"ALLIANCE ONE CLINIC" LILONGWE
"MASM MED CLINIC LILONGWE" LILONGWE
"DR MSACHI'S CLINIC" "MZIMBA NORTH"
"ESCOM CLINIC MZUZU" "MZIMBA NORTH"
"NKASALA HEALTH CENTRE" ZOMBA
"CHILIPA HEALTH CENTRE" ZOMBA
"MAJETE 2 HEALTH CENTRE" CHIKWAWA
"KACHERE HEALTH CENTRE" BLANTYRE
"KHUNGULU HEALTH CENTRE" BLANTYRE
"NTONDA HEALTH CENTRE" BLANTYRE
"MAJETE 3 HEALTH CENTRE" CHIKWAWA
"WANDIKWEZA HEALTH CENTRE" DOWA
"ADVENTIST LILONGWE HOSPITAL" LILONGWE
"NAMBUMA HOSPITAL" LILONGWE
"MPHELERO HEALTH CENTRE" MCHINJI
"WEZI MEDICAL CENTRE" "MZIMBA NORTH"
"CHASOLO HEALTH CENTRE" NTCHISI
"CHINKHANDE HEALTH CENTRE" NTCHISI
"CHISI HEALTH CENTRE" ZOMBA
"ZOMBA CITY PRIVATE CLINIC" ZOMBA
"ST.CYNTHIA HEALTH CENTRE" CHITIPA
"BEMA DISPENSARY" DEDZA
"NAKALANZI HEALTH CENTRE" DEDZA
"TCHETSA DISPENSARY" DEDZA
"CAPE MACLEAR DISPENSARY" MANGOCHI
MBALAMA MANGOCHI
"MSAKA DISPENSARY" MANGOCHI
"NJEREZA HEALTH CENTRE" MANGOCHI
"KAPIRI HEALTH CENTRE" MCHINJI
"NENO PARISH HEALTH CENTRE (CHAM)" NENO
"NSAMBE HEALTH CENTRE (CHAM)" NENO
"DOCHAS MEDICAL CENTRE" NTCHEU
"EXTENDING HOPE" NTCHEU
"FPAM CLINIC NTCHEU" NTCHEU
"LIVULEZI HEALTH CENTRE" NTCHEU
"ST PAUL'S PRIVATE CLINIC" NTCHISI
"NAMASOKO DISPENSARY" PHALOMBE
"EVA DEMAYA CENTRE CLINIC" RUMPHI
"KHANDA HEALTH CENTRE" ZOMBA
"PIRIMITI HOSPITAL" ZOMBA
"MAJETE 5 HEALTH CENTRE" CHIKWAWA
"MAJETE 6 HEALTH CENTRE" CHIKWAWA
"NAMBUMA HEALTH CENTER" DOWA
"LIGHTHOUSE CLINIC" LILONGWE
MALETA MANGOCHI
"MONKEYBAY DIC-PAKACHERE" MANGOCHI
"BORDER WELLNESS HEALTH POST" MCHINJI
"MWANZA WELLNESS BOARDER CLINIC" MWANZA
"MAKINA HEALTH CENTRE" ZOMBA
"MARINE UNIT CLINIC" MANGOCHI
"MZUZU UNIVERSITY CLINIC" "MZIMBA NORTH"
"FRANSISCO PALAU RURAL HOSPITAL (MTENGOWANTHENGA) AND DREAM PROJECT" DOWA
"THABILO DISPENSARY" KARONGA
"HORA HEALTH CENTRE" "MZIMBA SOUTH"
"MZUZU CENTRAL PRISON" "MZIMBA NORTH"
"SONGWE BOARDER DISPENSARY" KARONGA
"CHANDAWE HEALTH CENTRE" NTCHISI
"MALINDI HEALTH POST" NTCHISI
"SALIMA DHO PHARMACY" SALIMA
"NANCHOLI HEALTH CENTRE" BLANTYRE
